Regions du monde,Noms vernaculaires local ou francais,Nom vernaculaire anglais,combien,poid commun lb,Ou/quand,Technique de peche,photo,nom scientifique (especes),famille,ordre
18bis,pinaha tachete,speckled piranha,1,2,St Jean du Maroni - Feb 2025,"canne de riviere, au fond, au poulet ou crevette",reelle,serrasalmus spilopleura,serrasalmidae,characiforme
19,Anguille tété / South american lungfish/Pilayi,,1,1,route nationale RN1 Kourou - Macouria,"Anguille echouee sur la route, desorientee",reelle,Lepidosiren paradoxa,lepidosirenidae,ceratodontiformes
20,Acoupa riviere,,25+,2-4,partout en riviere ou roches,petite canne,web,Plagioscion squamosissimus,sciaenidae,Acanthuriformes
21,"krobia, crique morpio ou carpe ou tilapia",,4+,<1,crique morpio -July 2015,"petite ligne de riviere, petit hamecon",reelle,krobi aff. Guianensis,cichlidae,cichliformes
22,chocolate loricariid,,1,<1,"carbet flottant de Kaw, July 2015","petite ligne de main, Aurelien",reelle,Loricaria cataphracta,loricariidae,siluriformes
23,Bagre pimedole - machoiran riviere Kaloueri,,1,<1,piste au sud de Macouria,"canne legere de rivere, tres petit hamecon",reelle,Pimelodus maculatus (Lacepede 1803) - possiblement blochii,pimelodidae,siluriformes
24,"poson-pakira (C ), Liku (Wa), pimelodus orne",,2,0-3,Saut Dalles et pont Sinnamary,"canne de riviere, au fond, au yaya",reelle,Pimelodus ornatus (kner 1858),pimelodidae,siluriformes
25,"Diaky - petit machoiran riviere, bablaroch (C ), pimelodella huppe (F)",,1,<1,sinnamry - takari-tante 2017,"canne legere de rivere, tres petit hamecon",reelle,Pimelodella cristata ( ou geryi),heptapteridae,siluriformes
26,coco-soda de riviere montsinery 2023,,4+,<1,pont de montsinery - janvier 2023,"canne legere de rivere, tres petit hamecon",reelle,"Pseudauchenipterus nodosus (Bloch, 1794)",auchenipteridae,siluriformes
27,"Kanfran, poucici (C ), poisson chat pseudo vaillantii (possiblement pimelodus eigenmanni - Macai)",,1+,<1,carbet Francois route du degard pk18 2023,"canne legere de rivere, tres petit hamecon",reelle,"Brachyplatystoma vaillantii (Valenciennes, 1840)",pimelodidae,siluriformes
29,sea catfish Macouria,Rhamdia quelen,1,<1,Macouria - Juillet 2018 - piste au sud de Macouria,"canne legere de rivere, tres petit hamecon",reelle,Rhamdia quelen,heptapteridae,siluriformes
30,genre de couman-coumna yeux bleus,,1,2,bois chaudat jan 2023,"petite ligne rive, sur fromage ou pain",reelle,cathorops melanopus,arridae,siluriformes
31,pimelodus - montsinery,,1,1,pont de montsinery - janvier 2023,"canne legere de rivere, tres petit hamecon",reelle,pimelodus montserratensis,pimelodidae,siluriformes
1. France - Normandie - lacs - etangs,lancon,,50+,0.1,"Havre, Ecalgrain","epuisette, fouine, petite canne a eperlan",web,Hyperoplus lanceolatus,ammodytidae,trachiniformes
2,anguille du Valnotte,Fresh water eel,5+,0.2-2,dans le Notte et dans le Havre; a la Cale Marina,"en brouillant l'eau en riviere, a l'epuisette dans le Havre",reelle,anguilla anguilla,anguillidae,anguilliforme
3,Orphie,,10+,0.2-0.4,"le long de la cote du Cotentin, Jersey, Ecrehous",a la traine a la mitraillette et paravane,web,Belone belone,belonidae,beloniformes
4,blennie gattorugine-cabot,Tompot blenny,10+,0.2,Ecalgrain - Paques 2004,a l'epuisette dans toutes les mares,reelle,parablennius gattorugine,blenniidae,blenniiformes
5,Motelle commune (loche),Three beared rockling,1,0.1,Barneville sous le chateau - Jan 2025,"rocaille, a pied, au crochet a Barneville",reelle,Gaidropsarus vulgaris,blenniidae,blenniiformes
6,"tourteau, dormeur, clos-poing",Dorset crab,300+,0.4-3,Auderville - Barneville,"Rocaille, a pied, au crochet a Barneville ou Ecalgrain",reelle,Cancer pagurus,cancridae,decapoda
7,Tourteau rose,Toothed rock crab,1,0.3,Barneville sous le chateau - Jan 2025,"Rocaille, a pied, au crochet a Barneville ou Ecalgrain",reelle,Cancer bellianus,cancridae,decapoda
8,chinchard,,5+,2-4,Auderville - mars 2013 - paillot et tramail,au tramail,reelle,Trachurus tracharus,carangidae,carangiforme
9,"crabe vert, crabe enrage",European green crab,200+,0.3,"Barneville, Ecalgrain","Rocaille, a pied, au crochet a Barneville ou Ecalgrain",reelle,carcinus maenas,carcinidae,decapoda
10,Perche-soleil ou Crapet soleil,Pumpkinseed,1,0.1,Perche-soleil ou Crapet soleil,peche au filet chinois,reelle,lepomis gibbosus,centrarchidae,centrarchiformes
11,congre,Conger,2+,5-16,"Ecalgrain, chasse sous-marine",au fusil sous-marin dans le Buttes,web,Conger conger,congridae,anguilliforme
12,crevette grise,,100+,<0.5,havre de Carteret,a l'epuisette,web,Crangon crangon,crangonidae,decapoda
13,Carassin commun,,2,0.5,Roanne - July 2023,"petite ligne eperlan, grain de mais",reelle,Carassius carassius,cyprinidae,cypriniformes
14,Rotengle,,3,0.2,Roanne - July 2023,"petite ligne eperlan, grain de mais",reelle,Scardinius erythrophthalmus,cyprinidae,cypriniformes
15,gardon,,5,0.2,Roanne - July 2023,"petite ligne eperlan, grain de mais",reelle,Rutilus rutilus,cyprinidae,cypriniformes
16,Ecrevisse de mer,Black squat lobster,2,0.1,Barneville sous le chateau - Jan 2025,"rocaille, a pied, au crochet a Barneville",reelle,Galathea squamifera,Galatheidae,decapoda
